"Country","Region","Happiness.Rank","Happiness.Score","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","Happinness State"
"Togo","Sub-Saharan Africa","150","3.4949998855591","0.30544471740723","0.43188253045082","0.24710556864739","0.38042613863945","0.095665015280247","0.1968961507082","1.8372292518616","Happy"
"Trinidad and Tobago","Latin America and Caribbean","38","6.1680002212524","1.3613559007645","1.3802285194397","0.51998329162598","0.51863074302673","0.008964816108346","0.32529646158218","2.0532474517822","Happy"
"Tunisia","Middle East and Northern Africa","102","4.8049998283386","1.0072658061981","0.86835145950317","0.61321204900742","0.28968068957329","0.086723148822784","0.049693357199431","1.890251159668","Happy"
"Turkey","Middle East and Northern Africa","69","5.5","1.1982743740082","1.3377531766891","0.63760560750961","0.30074059963226","0.099671579897404","0.046693041920662","1.8792779445648","Happy"
"Turkmenistan","Central and Eastern Europe","59","5.8220000267029","1.1307767629623","1.4931491613388","0.43772608041763","0.41827192902565","0.25927034020424","0.24992498755455","1.832909822464","Happy"
"Uganda","Sub-Saharan Africa","133","4.0809998512268","0.3814307153225","1.1298277378082","0.21763260662556","0.44318595528603","0.057069718837738","0.32576605677605","1.526362657547","Happy"
"Ukraine","Central and Eastern Europe","132","4.0960001945496","0.89465194940567","1.3945375680923","0.57590395212173","0.12297477573156","0.023029470816255","0.2700614631176","0.81438231468201","Happy"
"United Arab Emirates","Middle East and Northern Africa","21","6.6479997634888","1.6263433694839","1.2664102315903","0.72679823637009","0.60834527015686","0.32448956370354","0.3609419465065","1.734703540802","Very Happy"
"United Kingdom","Western Europe","19","6.7140002250671","1.441633939743","1.4964600801468","0.80533593893051","0.50819003582001","0.26542806625366","0.4927741587162","1.7041435241699","Very Happy"
"United States","North America","14","6.9930000305176","1.5462592840195","1.4199205636978","0.77428662776947","0.50574052333832","0.13563878834248","0.39257878065109","2.2181134223938","Very Happy"
"Uruguay","Latin America and Caribbean","28","6.4539999961853","1.2175596952438","1.4122278690338","0.71921682357788","0.57939225435257","0.17806187272072","0.17509692907333","2.1724095344544","Happy"
"Uzbekistan","Central and Eastern Europe","47","5.9710001945496","0.78644108772278","1.5489691495895","0.49827262759209","0.65824866294861","0.24652822315693","0.41598364710808","1.8169136047363","Happy"
"Venezuela","Latin America and Caribbean","82","5.25","1.1284312009811","1.431337594986","0.61714422702789","0.15399712324143","0.064491122961044","0.065019629895687","1.7894637584686","Happy"
"Vietnam","Southeastern Asia","94","5.0739998817444","0.78854757547378","1.2774913311005","0.65216898918152","0.57105559110642","0.087633237242699","0.23496805131435","1.4623186588287","Happy"
"Yemen","Middle East and Northern Africa","146","3.5929999351502","0.59168344736099","0.93538224697113","0.31008091568947","0.2494637221098","0.056767422705889","0.1041252091527","1.345600605011","Happy"
